time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.09480280911e-07,9.73679766211e-07,10.0051061558,0.000664809070032,0.000576076283525,0.0,-6.47573844104e-05,7.67077966602e-05,0.170194358383,0.0271141995414,0.0240029899848,0.0,458.73039619296515,460.63205351572765,456.4983569590435,458.65639688026164
0.12000000000000001,-2.1731613203e-05,2.51135382698e-05,10.0179724216,0.0021191123476,0.0018603654744,0.0,-0.000769857743769,0.000883195906242,0.258664298015,0.0177580563353,0.0156239624215,0.0,433.81523493414943,433.11122948403926,433.4661803366162,432.6794455882554
0.18,-0.000126014485061,0.000143553932403,10.044119233,0.00310686266058,0.00316210800187,0.0,-0.00286533081231,0.00320808078654,0.612773763947,0.0137367645463,0.0316878839207,0.0,511.102296283148,512.24566571913,511.1199416205663,510.8331923173972
0.23999999999999996,-0.000359351046082,0.000392860542553,10.0806800694,0.00379832265107,0.00517542725126,0.0,-0.00508146688223,0.00516781986268,0.605923627775,0.00668516825278,0.0370498466394,0.0,401.89897668538066,402.38518171535486,402.1173656362004,401.4780594057939
0.3,-0.000779945770429,0.000783598195825,10.1200776144,0.00462858919616,0.00746046266278,0.0,-0.00916848819854,0.00792240137288,0.70726846805,0.0252657245202,0.0400752988459,0.0,437.173358294183,437.42606545778204,437.3849003311335,438.92930673180297
0.36000000000000004,-0.00151154393193,0.00137196741049,10.167824282,0.00638057474865,0.0096858404827,0.0,-0.0154805608002,0.0118756776338,0.884163510349,0.0360902385739,0.0303280758932,0.0,460.91216222035405,460.1418660618673,461.44283116331616,462.29663460523204
0.4200000000000001,-0.00267686773815,0.00224409604853,10.2267569191,0.00820693129355,0.0119093382549,0.0,-0.0235998409887,0.0174301051699,1.0800888094,0.0156619948782,0.0479332294335,0.0,467.3030837994115,468.67378020735265,467.1475200179228,465.55231171338005
0.48000000000000015,-0.00438302028763,0.00348535705191,10.2972318921,0.00907755127108,0.0145686987489,0.0,-0.0335896334211,0.0240479575703,1.2688812598,0.0121014428407,0.0358966062825,0.0,466.00084244938427,465.06011608861814,465.44518043087675,465.166355047944
0.5400000000000001,-0.00671912722069,0.00512558502712,10.3771374805,0.00969997746554,0.0165833925177,0.0,-0.0444994442908,0.0306965012945,1.39448898819,0.00667283929709,0.0284846863126,0.0,446.5950164053778,445.9905548969443,447.1078039856805,446.6652286196556
0.6000000000000002,-0.00976203408543,0.00718294871083,10.4652151341,0.00988960971104,0.0182241533079,0.0,-0.05711024089,0.0379137604302,1.54124249093,-0.00500006492251,0.0249658323883,0.0,453.3024540234336,453.019787340124,454.2013819116252,453.2642955388875
0.6600000000000003,-0.0135179809068,0.00963259773109,10.5578010418,0.00971256761372,0.0201868949478,0.0,-0.0682427365476,0.043720385033,1.54494627359,0.000861903372543,0.0448935476971,0.0,406.8836659934663,408.6641766035259,407.30726456897315,407.83119818741835
0.7200000000000003,-0.018068791215,0.0124701116473,10.654893506,0.00960844551689,0.0226152078117,0.0,-0.0837276656862,0.0508590707305,1.69125752314,-0.00751512220539,0.0297100371705,0.0,453.3214218393037,452.1006009412249,455.1103106807883,454.43941743268414
0.7800000000000004,-0.0235070227101,0.0156934003723,10.7567477276,0.00878101749577,0.0248939939785,0.0,-0.0977306413785,0.0565306947114,1.7038599485,-0.0308959022693,0.0508068834594,0.0,410.1798656423492,412.0498023521702,412.3249000144255,410.2543022065076
0.8400000000000004,-0.0299033648084,0.0192614649627,10.8622254506,0.00670084699243,0.0280068055061,0.0,-0.115794706241,0.0622016015854,1.81189140859,-0.0435490393137,0.0539440218369,0.0,442.40631291025784,442.66627231416425,442.72328168967437,441.68049370827634
0.9000000000000005,-0.037456954072,0.0231249583353,10.9744203245,0.00417309322384,0.0318698187694,0.0,-0.136362600945,0.0663120594557,1.92773872278,-0.0394316612945,0.079718567424,0.0,444.0188114234348,446.1310393791644,445.15105712566657,445.4868713369818
0.9600000000000005,-0.0465273502522,0.0272048064254,11.0995434285,0.00177939845613,0.0364206693449,0.0,-0.166591790734,0.0693622760426,2.24244692956,-0.0408376513889,0.0666974297728,0.0,504.8007413270764,503.8640596746679,503.6395546777233,503.5372523795985
1.0200000000000005,-0.0572239792882,0.0313916277158,11.2352614562,6.28282042225,0.0410624096862,0.0,-0.190367071165,0.0699860613396,2.28139277748,-0.0271111469037,0.0929420917801,0.0,420.2259852434834,422.49963851826436,422.52964354404213,423.71064922916867
1.0800000000000005,-0.0696789692308,0.0355742217375,11.3789963918,6.28084502393,0.0468606525072,0.0,-0.225468245507,0.0692207765924,2.50926617273,-0.0482785239685,0.103153786764,0.0,480.4357094591042,481.21646095741585,481.5305941986956,479.9263086391012
1.1400000000000006,-0.0842987029771,0.0396622715736,11.5346056586,6.27825232738,0.0530879058393,0.0,-0.262533908556,0.0667428242101,2.67729086649,-0.0346322898224,0.105024883576,0.0,465.2436315456761,465.3989525628456,462.4593583391485,463.5319607539872
1.2000000000000006,-0.101354222471,0.0435391175782,11.7015690573,6.27624482664,0.0596834372373,0.0,-0.306720615433,0.062246767007,2.8875975939,-0.031208596375,0.118259440123,0.0,476.78300785261536,477.80272278265403,477.69431333345045,477.95495050467815
1.2600000000000007,-0.120920898252,0.0471349542186,11.8762050655,6.27442643484,0.066666910707,0.0,-0.346156928326,0.0574422741361,2.93343509429,-0.0285611241104,0.112369407139,0.0,428.2759392975278,427.7873514047149,427.888133599088,428.1131218212781
